special count:11
特殊卡牌_天下檄文 | ab=["Commander's Horn"] | UNRECOGNIZED | 号令：选择己方一条阵线，该线所有人物战力翻倍。
特殊卡牌_天下檄文 | ab=["Commander's Horn"] | UNRECOGNIZED | 号令：选择己方一条阵线，该线所有人物战力翻倍。
特殊卡牌_天下檄文 | ab=["Commander's Horn"] | UNRECOGNIZED | 号令：选择己方一条阵线，该线所有人物战力翻倍。
特殊卡牌_釜底抽薪 | ab=["Scorch"] | SCORCH | 奇策：摧毁场上最高战力的非传世人物。
特殊卡牌_釜底抽薪 | ab=["Scorch"] | SCORCH | 奇策：摧毁场上最高战力的非传世人物。
特殊卡牌_釜底抽薪 | ab=["Scorch"] | SCORCH | 奇策：摧毁场上最高战力的非传世人物。
特殊卡牌_请辞归隐 | ab=[] | DECOY | 请辞：将己方场上一张非传世人物收回手牌。
特殊卡牌_请辞归隐 | ab=[] | DECOY | 请辞：将己方场上一张非传世人物收回手牌。
特殊卡牌_请辞归隐 | ab=[] | DECOY | 请辞：将己方场上一张非传世人物收回手牌。
特殊卡牌_破釜沉舟 | ab=["Mardroeme"] | MARD | 破釜沉舟：触发同一线所有“奋起”人物转化。
特殊卡牌_破釜沉舟 | ab=["Mardroeme"] | MARD | 破釜沉舟：触发同一线所有“奋起”人物转化。
